mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_neighbors,param_model__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.03320775032043457,0.0021707113924061797,0.17518291473388672,0.010585380781252141,3,uniform,"{'model__n_neighbors': 3, 'model__weights': 'uniform'}",0.7611940298507462,0.753731343283582,0.7761194029850746,0.8045112781954887,0.7744360902255639,0.7739984289080911,0.017380629706834017,16
0.025294971466064454,0.0022674556134686867,0.18260326385498046,0.003972957548278961,3,distance,"{'model__n_neighbors': 3, 'model__weights': 'distance'}",0.7611940298507462,0.746268656716418,0.7761194029850746,0.8195488721804511,0.7669172932330827,0.7740096509931546,0.024748236976146244,15
0.02173128128051758,0.00472861979596933,0.17582449913024903,0.009150188683839388,5,uniform,"{'model__n_neighbors': 5, 'model__weights': 'uniform'}",0.7910447761194029,0.7985074626865671,0.8507462686567164,0.8045112781954887,0.7894736842105263,0.8068566939737403,0.022599518485013907,1
0.023594045639038087,0.0018549101125422032,0.04496335983276367,0.05919784669991675,5,distance,"{'model__n_neighbors': 5, 'model__weights': 'distance'}",0.7985074626865671,0.7611940298507462,0.8283582089552238,0.8120300751879699,0.7819548872180451,0.7964089327797104,0.02331604163421995,8
0.025206279754638673,0.0021650335692307027,0.018314361572265625,0.00401613774014079,7,uniform,"{'model__n_neighbors': 7, 'model__weights': 'uniform'}",0.7761194029850746,0.7910447761194029,0.8432835820895522,0.7969924812030075,0.7819548872180451,0.7978790259230164,0.023816490238888852,7
0.02434549331665039,0.0023644073727863073,0.014204692840576173,0.0015244058293427867,7,distance,"{'model__n_neighbors': 7, 'model__weights': 'distance'}",0.7835820895522388,0.7611940298507462,0.8208955223880597,0.8045112781954887,0.7744360902255639,0.7889238020424194,0.021319138193184227,14
0.024857711791992188,0.0036894498699813006,0.014412546157836914,0.002411931624707835,9,uniform,"{'model__n_neighbors': 9, 'model__weights': 'uniform'}",0.7761194029850746,0.7761194029850746,0.8507462686567164,0.8045112781954887,0.7894736842105263,0.7993940074065762,0.027731096011872864,5
0.01966991424560547,0.0029781468060594784,0.010700654983520509,0.001154508605232718,9,distance,"{'model__n_neighbors': 9, 'model__weights': 'distance'}",0.7835820895522388,0.7611940298507462,0.8283582089552238,0.8120300751879699,0.7819548872180451,0.7934238581528448,0.023806552519068217,11
0.015590190887451172,0.003462680892629484,0.011856746673583985,0.002416113729526528,11,uniform,"{'model__n_neighbors': 11, 'model__weights': 'uniform'}",0.753731343283582,0.8134328358208955,0.8432835820895522,0.8045112781954887,0.7969924812030075,0.8023903041185051,0.02896731669455254,4
0.01325230598449707,0.004100153460171456,0.013128662109375,0.0018377939308780328,11,distance,"{'model__n_neighbors': 11, 'model__weights': 'distance'}",0.7611940298507462,0.7985074626865671,0.8283582089552238,0.8120300751879699,0.7819548872180451,0.7964089327797104,0.02331604163421995,8
0.017053937911987303,0.0012242737308433913,0.012115240097045898,0.000710293820280339,15,uniform,"{'model__n_neighbors': 15, 'model__weights': 'uniform'}",0.7835820895522388,0.7910447761194029,0.835820895522388,0.8045112781954887,0.8120300751879699,0.8053978229154977,0.018178406162797114,2
0.018257713317871092,0.0017795776412412993,0.013480472564697265,0.002007294357026753,15,distance,"{'model__n_neighbors': 15, 'model__weights': 'distance'}",0.7835820895522388,0.7910447761194029,0.8283582089552238,0.8120300751879699,0.8045112781954887,0.8039052856020648,0.01576546792954325,3
0.018958330154418945,0.0015558994585925907,0.013508796691894531,0.0006305464414687147,21,uniform,"{'model__n_neighbors': 21, 'model__weights': 'uniform'}",0.7761194029850746,0.7985074626865671,0.8283582089552238,0.8045112781954887,0.7894736842105263,0.7993940074065762,0.01735521487340206,5
0.017137575149536132,0.0012876359272342717,0.01284928321838379,0.0005915308688814714,21,distance,"{'model__n_neighbors': 21, 'model__weights': 'distance'}",0.7761194029850746,0.7910447761194029,0.835820895522388,0.8045112781954887,0.7744360902255639,0.7963864886095837,0.022548584415151094,10
0.017398357391357422,0.0018455241682105363,0.010090112686157227,0.0015124005018465267,31,uniform,"{'model__n_neighbors': 31, 'model__weights': 'uniform'}",0.7910447761194029,0.7686567164179104,0.7835820895522388,0.8120300751879699,0.7894736842105263,0.7889574682976097,0.013985590763825896,12
0.015154743194580078,0.001129591958593165,0.007181549072265625,0.0009760042174276159,31,distance,"{'model__n_neighbors': 31, 'model__weights': 'distance'}",0.7835820895522388,0.7761194029850746,0.8059701492537313,0.7969924812030075,0.7819548872180451,0.7889238020424195,0.01092459461968248,13
